timestep,speed,
49.8,3.36174080000002,0.336174080000002
49.9,3.73725440000002,0.373725440000002
50,4.112768,0.4112768
50.1,4.3675808,0.43675808
50.2,4.62239360000001,0.462239360000001
50.3,4.87720640000001,0.487720640000001
50.4,5.13201920000001,0.513201920000001
50.5,5.386832,0.5386832
50.6,5.6416448,0.56416448
50.7,5.89645760000001,0.589645760000001
50.8,6.15127040000001,0.615127040000001
50.9,6.40608320000002,0.640608320000002
51,6.660896,0.6660896
51.1,6.8084192,0.68084192
51.2,6.9559424,0.69559424
51.3,7.10346560000001,0.710346560000001
51.4,7.25098880000001,0.725098880000001
51.5,7.398512,0.7398512
51.6,7.5460352,0.75460352
51.7,7.6935584,0.76935584
51.8,7.84108160000001,0.784108160000001
51.9,7.98860480000001,0.798860480000001
52,8.136128,0.8136128
52.1,8.314944,0.8314944
52.2,8.49376000000001,0.849376000000001
52.3,8.67257600000001,0.867257600000001
52.4,8.85139200000001,0.885139200000001
52.5,9.030208,0.9030208
52.6,9.209024,0.9209024
52.7,9.38784,0.938784
52.8,9.56665600000001,0.956665600000001
52.9,9.74547200000001,0.974547200000001
53,9.924288,0.9924288
53.1,10.147808,1.0147808
53.2,10.371328,1.0371328
53.3,10.594848,1.0594848
53.4,10.818368,1.0818368
53.5,11.041888,1.1041888
53.6,11.265408,1.1265408
53.7,11.488928,1.1488928
53.8,11.712448,1.1712448
53.9,11.935968,1.1935968
54,12.159488,1.2159488
54.1,12.3472448,1.23472448
54.2,12.5350016,1.25350016
54.3,12.7227584,1.27227584
54.4,12.9105152,1.29105152
54.5,13.098272,1.3098272
54.6,13.2860288,1.32860288
54.7,13.4737856,1.34737856
54.8,13.6615424,1.36615424
54.9,13.8492992,1.38492992
55,14.037056,1.4037056
55.1,14.1443456,1.41443456
55.2,14.2516352,1.42516352
55.3,14.3589248,1.43589248
55.4,14.4662144,1.44662144
55.5,14.573504,1.4573504
55.6,14.6807936,1.46807936
55.7,14.7880832,1.47880832
55.8,14.8953728,1.48953728
55.9,15.0026624,1.50026624
56,15.109952,1.5109952
56.1,15.2619456,1.52619456
56.2,15.4139392,1.54139392
56.3,15.5659328,1.55659328
56.4,15.7179264,1.57179264
56.5,15.86992,1.586992
56.6,16.0219136,1.60219136
56.7,16.1739072,1.61739072
56.8,16.3259008,1.63259008
56.9,16.4778944,1.64778944
57,16.629888,1.6629888
57.1,16.7908224,1.67908224
57.2,16.9517568,1.69517568
57.3,17.1126912,1.71126912
57.4,17.2736256,1.72736256
57.5,17.43456,1.743456
57.6,17.5954944,1.75954944
57.7,17.7564288,1.77564288
57.8,17.9173632,1.79173632
57.9,18.0782976,1.80782976
58,18.239232,1.8239232
58.1,18.3822848,1.83822848
58.2,18.5253376,1.85253376
58.3,18.6683904,1.86683904
58.4,18.8114432,1.88114432
58.5,18.954496,1.8954496
58.6,19.0975488,1.90975488
58.7,19.2406016,1.92406016
58.8,19.3836544,1.93836544
58.9,19.5267072,1.95267072
59,19.66976,1.966976
59.1,19.7725792,1.97725792
59.2,19.8753984,1.98753984
59.3,19.9782176,1.99782176
59.4,20.0810368,2.00810368
59.5,20.183856,2.0183856
59.6,20.2866752,2.02866752
59.7,20.3894944,2.03894944
59.8,20.4923136,2.04923136
59.9,20.5951328,2.05951328
60,20.697952,2.0697952
60.1,20.7560672,2.07560672
60.2,20.8141824,2.08141824
60.3,20.8722976,2.08722976
60.4,20.9304128,2.09304128
60.5,20.988528,2.0988528
60.6,21.0466432,2.10466432
60.7,21.1047584,2.11047584
60.8,21.1628736,2.11628736
60.9,21.2209888,2.12209888
61,21.279104,2.1279104
61.1,21.3640416,2.13640416
61.2,21.4489792,2.14489792
61.3,21.5339168,2.15339168
61.4,21.6188544,2.16188544
61.5,21.703792,2.1703792
61.6,21.7887296,2.17887296
61.7,21.8736672,2.18736672
61.8,21.9586048,2.19586048
61.9,22.0435424,2.20435424
62,22.12848,2.212848
62.1,22.2044768,2.22044768
62.2,22.2804736,2.22804736
62.3,22.3564704,2.23564704
62.4,22.4324672,2.24324672
62.5,22.508464,2.2508464
62.6,22.5844608,2.25844608
62.7,22.6604576,2.26604576
62.8,22.7364544,2.27364544
62.9,22.8124512,2.28124512
63,22.888448,2.2888448
63.1,22.9689152,2.29689152
63.2,23.0493824,2.30493824
63.3,23.1298496,2.31298496
63.4,23.2103168,2.32103168
63.5,23.290784,2.3290784
63.6,23.3712512,2.33712512
63.7,23.4517184,2.34517184
63.8,23.5321856,2.35321856
63.9,23.6126528,2.36126528
64,23.69312,2.369312
64.1,23.7557056,2.37557056
64.2,23.8182912,2.38182912
64.3,23.8808768,2.38808768
64.4,23.9434624,2.39434624
64.5,24.006048,2.4006048
64.6,24.0686336,2.40686336
64.7,24.1312192,2.41312192
64.8,24.1938048,2.41938048
64.9,24.2563904,2.42563904
65,24.318976,2.4318976
65.1,24.3726208,2.43726208
65.2,24.4262656,2.44262656
65.3,24.4799104,2.44799104
65.4,24.5335552,2.45335552
65.5,24.5872,2.45872
65.6,24.6408448,2.46408448
65.7,24.6944896,2.46944896
65.8,24.7481344,2.47481344
65.9,24.8017792,2.48017792
66,24.855424,2.4855424
66.1,24.8911872,2.48911872
66.2,24.9269504,2.49269504
66.3,24.9627136,2.49627136
66.4,24.9984768,2.49984768
66.5,25.03424,2.503424
66.6,25.0700032,2.50700032
66.7,25.1057664,2.51057664
66.8,25.1415296,2.51415296
66.9,25.1772928,2.51772928
67,25.213056,2.5213056
67.1,25.1996448,2.51996448
67.2,25.1862336,2.51862336
67.3,25.1728224,2.51728224
67.4,25.1594112,2.51594112
67.5,25.146,2.5146
67.6,25.1325888,2.51325888
67.7,25.1191776,2.51191776
67.8,25.1057664,2.51057664
67.9,25.0923552,2.50923552
68,25.078944,2.5078944
68.1,25.0834144,2.50834144
68.2,25.0878848,2.50878848
68.3,25.0923552,2.50923552
68.4,25.0968256,2.50968256
68.5,25.101296,2.5101296
68.6,25.1057664,2.51057664
68.7,25.1102368,2.51102368
68.8,25.1147072,2.51147072
68.9,25.1191776,2.51191776
69,25.123648,2.5123648
69.1,25.1057664,2.51057664
69.2,25.0878848,2.50878848
69.3,25.0700032,2.50700032
69.4,25.0521216,2.50521216
69.5,25.03424,2.503424
69.6,25.0163584,2.50163584
69.7,24.9984768,2.49984768
69.8,24.9805952,2.49805952
69.9,24.9627136,2.49627136
70,24.944832,2.4944832
70.1,24.9135392,2.49135392
70.2,24.8822464,2.48822464
70.3,24.8509536,2.48509536
70.4,24.8196608,2.48196608
70.5,24.788368,2.4788368
70.6,24.7570752,2.47570752
70.7,24.7257824,2.47257824
70.8,24.6944896,2.46944896
70.9,24.6631968,2.46631968
71,24.631904,2.4631904
71.1,24.6006112,2.46006112
71.2,24.5693184,2.45693184
71.3,24.5380256,2.45380256
71.4,24.5067328,2.45067328
71.5,24.47544,2.447544
71.6,24.4441472,2.44441472
71.7,24.4128544,2.44128544
71.8,24.3815616,2.43815616
71.9,24.3502688,2.43502688
72,24.318976,2.4318976
72.1,24.3100352,2.43100352
72.2,24.3010944,2.43010944
72.3,24.2921536,2.42921536
72.4,24.2832128,2.42832128
72.5,24.274272,2.4274272
72.6,24.2653312,2.42653312
72.7,24.2563904,2.42563904
72.8,24.2474496,2.42474496
72.9,24.2385088,2.42385088
73,24.229568,2.4229568
73.1,24.2385088,2.42385088
73.2,24.2474496,2.42474496
73.3,24.2563904,2.42563904
73.4,24.2653312,2.42653312
73.5,24.274272,2.4274272
73.6,24.2832128,2.42832128
73.7,24.2921536,2.42921536
73.8,24.3010944,2.43010944
73.9,24.3100352,2.43100352
74,24.318976,2.4318976
74.1,24.3100352,2.43100352
74.2,24.3010944,2.43010944
74.3,24.2921536,2.42921536
74.4,24.2832128,2.42832128
74.5,24.274272,2.4274272
74.6,24.2653312,2.42653312
74.7,24.2563904,2.42563904
